Nb_pieces,Nb_chambres,Etage,Surface (en m2),Arrondissement,Prix (en K€)
3,4,5,67,17,770
1,2,5,26,17,321
3,3,3,118,12,1300
5,2,5,90,6,1290
4,5,5,87,19,678
1,2,5,14,12,240
2,3,1,45,15,460
3,4,3,54,19,480
4,5,4,75,16,965
2,2,4,26,12,315
2,2,7,38,12,430
3,4,8,85,16,1038
3,3,2,73,17,815
3,4,1,66,15,730
3,4,2,64,15,748
4,5,8,113,16,1595
1,2,3,18,12,219
1,2,3,23,15,295
1,1,7,8,12,99
2,3,7,34,15,330
2,3,1,53,15,737
1,2,5,18,17,147
3,4,3,59,19,570
2,3,3,40,17,420
3,4,4,66,12,675
1,2,6,36,15,417
4,5,3,78,16,1090
4,5,10,80,15,935
3,3,5,34,6,390
4,2,3,45,6,705
3,2,7,55,6,864
2,1,2,41,15,462
3,1,2,65,15,679
3,2,0,62,17,550
3,2,3,63,19,565
2,1,2,52,12,595
2,1,3,33,17,399
3,2,4,44,17,540
4,3,4,79,15,986.55
2,1,2,38,15,450
4,2,8,95,15,876
